video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
ddeDfiASDyH,18.16.09,Video DE #000,Channel_13,25,2018-05-19T10:40:00.000Z,tag1|tag2,4954554,1609757,89747,226440,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
jDxOMXUupGu,18.15.08,Video DE #001,Channel_1,8,2018-03-21T10:04:00.000Z,tag1|tag2,21684844,896797,19825,136213,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
IODsTThOkjb,17.22.10,Video DE #002,Channel_39,28,2017-06-18T14:41:00.000Z,tag1|tag2,2697618,1635652,16788,283655,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
kiZmVObTXgX,18.11.02,Video DE #003,Channel_2,15,2018-02-08T21:13:00.000Z,tag1|tag2,49975127,1792362,97081,109858,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
OEgYAEAikWM,18.15.01,Video DE #004,Channel_23,24,2018-01-13T06:13:00.000Z,tag1|tag2,21315428,871586,25132,110772,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
XatvYfsqdXH,17.12.09,Video DE #005,Channel_15,23,2017-08-09T16:07:00.000Z,tag1|tag2,5717442,1365056,84455,425262,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qhmDgiKNdPT,18.01.08,Video DE #006,Channel_43,10,2018-05-24T20:57:00.000Z,tag1|tag2,24994635,1296106,54478,432120,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QIsWObkutRG,17.06.07,Video DE #007,Channel_2,26,2017-02-17T04:47:00.000Z,tag1|tag2,1783424,696377,3835,466497,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tFBiaUeZfyZ,18.24.01,Video DE #008,Channel_35,15,2018-01-14T01:34:00.000Z,tag1|tag2,9069793,1798082,79171,424871,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ItFLyMSklgW,17.16.05,Video DE #009,Channel_15,22,2017-04-09T04:20:00.000Z,tag1|tag2,5565609,1559572,12524,376555,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
jIrYIBETNgv,18.20.05,Video DE #010,Channel_43,5,2018-01-08T07:16:00.000Z,tag1|tag2,38930765,1545364,4585,392633,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
HRmuazSjTYv,18.02.11,Video DE #011,Channel_14,15,2018-04-06T00:09:00.000Z,tag1|tag2,41745580,552141,71649,231114,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rZjrTOxfSNn,17.09.12,Video DE #012,Channel_24,14,2017-11-25T16:59:00.000Z,tag1|tag2,43153533,54296,71313,66679,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
pTpwZeTAuWZ,17.15.04,Video DE #013,Channel_13,5,2017-01-04T17:45:00.000Z,tag1|tag2,45722572,466268,2291,104664,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cBCKZiiJHSl,18.20.09,Video DE #014,Channel_49,23,2018-03-19T16:33:00.000Z,tag1|tag2,10253975,1135185,80010,222806,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
BvyqLpdKIkM,17.02.05,Video DE #015,Channel_39,3,2017-04-10T12:57:00.000Z,tag1|tag2,4024336,1584705,53888,74059,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
OHukRdYoUgM,17.27.08,Video DE #016,Channel_44,5,2017-03-25T07:25:00.000Z,tag1|tag2,13863090,930838,18765,352946,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
BOFmwQCFhTN,18.01.06,Video DE #017,Channel_47,11,2018-06-04T16:19:00.000Z,tag1|tag2,18310508,1992220,5470,200516,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TJPNlfZFFsT,18.21.02,Video DE #018,Channel_43,16,2018-02-14T18:10:00.000Z,tag1|tag2,47133514,907970,55369,30202,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rInsaLzElwn,17.27.05,Video DE #019,Channel_50,27,2017-03-09T20:32:00.000Z,tag1|tag2,47598582,1024120,73588,318554,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
