video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
izrrMICrEYP,18.18.08,Video FR #000,Channel_21,26,2018-08-09T09:55:00.000Z,tag1|tag2,47876886,1765913,80532,151512,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QwrhSTcPtlH,17.05.09,Video FR #001,Channel_15,3,2017-05-20T03:05:00.000Z,tag1|tag2,15915961,275995,84333,460495,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qyBGwMJooBG,17.28.06,Video FR #002,Channel_25,19,2017-03-03T06:00:00.000Z,tag1|tag2,41654963,1504107,64407,76035,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
wXHhatAMitk,18.08.12,Video FR #003,Channel_5,17,2018-07-15T20:50:00.000Z,tag1|tag2,14709168,1690014,22758,371468,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
khRapetaemn,17.05.12,Video FR #004,Channel_11,7,2017-04-27T02:08:00.000Z,tag1|tag2,48203601,1160192,60810,181383,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
exOUyqMsGzt,17.06.09,Video FR #005,Channel_37,2,2017-08-13T16:45:00.000Z,tag1|tag2,21889522,299730,81182,47808,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
uCjwgydJkOL,18.22.07,Video FR #006,Channel_37,21,2018-05-08T23:06:00.000Z,tag1|tag2,39144565,391381,3936,171324,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MTXMPIEHmCm,17.05.03,Video FR #007,Channel_11,11,2017-03-19T19:13:00.000Z,tag1|tag2,43893540,763718,92174,128699,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
zHMTlQpWDnn,17.18.06,Video FR #008,Channel_50,16,2017-03-09T13:07:00.000Z,tag1|tag2,41067799,1501493,95131,61568,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
jdcmUyBzfzU,17.20.08,Video FR #009,Channel_21,5,2017-08-01T05:36:00.000Z,tag1|tag2,38944858,1995886,73279,496373,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
YhsLLcjbcNz,17.05.03,Video FR #010,Channel_44,29,2017-01-26T21:48:00.000Z,tag1|tag2,31296022,1088633,66089,265745,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
KtAjHudRNZN,18.22.06,Video FR #011,Channel_13,1,2018-02-23T23:46:00.000Z,tag1|tag2,18715000,634557,31070,484179,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
fdRikLUTbhE,18.03.11,Video FR #012,Channel_50,24,2018-10-28T18:20:00.000Z,tag1|tag2,39434817,1572350,45745,348631,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TAcQVDZeJzF,17.10.02,Video FR #013,Channel_8,5,2017-01-16T08:41:00.000Z,tag1|tag2,26747215,102536,83106,79631,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
KxyIcFMefug,17.07.02,Video FR #014,Channel_12,2,2017-01-04T21:59:00.000Z,tag1|tag2,8167272,1296008,94690,17233,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
BwmWMlpktka,18.24.03,Video FR #015,Channel_12,15,2018-02-22T23:59:00.000Z,tag1|tag2,43712806,1839934,87281,425833,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
foPJGhraIZh,18.04.09,Video FR #016,Channel_19,13,2018-03-25T09:11:00.000Z,tag1|tag2,8694119,36892,77616,102030,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
