video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
JbDYAAsJYbt,17.22.10,Video JP #000,Channel_49,18,2017-04-28T02:42:00.000Z,tag1|tag2,13263972,1253455,10360,49172,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
vcFjJmlDmEj,17.27.06,Video JP #001,Channel_1,22,2017-02-06T01:10:00.000Z,tag1|tag2,44953293,1866361,31059,285368,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
kpXxfNOwmTT,18.06.09,Video JP #002,Channel_9,24,2018-02-18T17:39:00.000Z,tag1|tag2,580303,1141174,30585,157250,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
poLvobyDNNN,17.10.03,Video JP #003,Channel_39,27,2017-01-24T12:27:00.000Z,tag1|tag2,29181551,853419,31507,232415,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
SoDqBIpXtFZ,18.03.09,Video JP #004,Channel_37,20,2018-09-16T14:52:00.000Z,tag1|tag2,47236803,703460,32779,48656,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hFahtPNSWPn,18.26.06,Video JP #005,Channel_38,13,2018-04-13T09:41:00.000Z,tag1|tag2,26254190,878237,87613,424030,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
OhIHYHnDhUl,17.22.02,Video JP #006,Channel_14,8,2017-01-27T04:36:00.000Z,tag1|tag2,32662920,1483691,73237,406056,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
zpTBqAcnrEJ,18.13.01,Video JP #007,Channel_21,22,2018-01-07T16:26:00.000Z,tag1|tag2,30205747,1390556,52449,342192,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
csdMVHywHWn,18.17.08,Video JP #008,Channel_27,8,2018-07-18T21:00:00.000Z,tag1|tag2,11163819,980143,4873,193251,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
nncpeJwnLTh,18.09.02,Video JP #009,Channel_16,11,2018-02-12T06:56:00.000Z,tag1|tag2,5608095,1325502,75392,49095,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tflTCcenjjj,18.22.11,Video JP #010,Channel_37,17,2018-01-26T10:26:00.000Z,tag1|tag2,31979947,1886429,55584,215854,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
LOgkeuVMAYM,17.28.03,Video JP #011,Channel_32,2,2017-02-22T18:44:00.000Z,tag1|tag2,2610895,763588,19905,67037,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
RpRvGbSyKsG,17.09.09,Video JP #012,Channel_7,4,2017-06-15T20:49:00.000Z,tag1|tag2,19506994,453080,41588,474228,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MMtlwaNUYfC,17.10.01,Video JP #013,Channel_30,10,2017-01-21T15:30:00.000Z,tag1|tag2,22810120,1686221,26467,432044,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
oegoPjwsSjk,18.10.02,Video JP #014,Channel_6,29,2018-02-08T04:02:00.000Z,tag1|tag2,27821135,747172,44632,267987,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rhxhcmGycxq,17.25.07,Video JP #015,Channel_1,1,2017-02-09T14:20:00.000Z,tag1|tag2,23957309,1895609,98184,443763,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qXOYeBSxJkj,18.16.09,Video JP #016,Channel_16,12,2018-01-14T18:00:00.000Z,tag1|tag2,12641187,1205498,30198,399085,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MKYTvycxphf,17.21.01,Video JP #017,Channel_34,8,2017-01-09T16:18:00.000Z,tag1|tag2,2201994,311180,35674,93108,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rWrfbLpSHdK,18.09.11,Video JP #018,Channel_35,17,2018-07-24T16:50:00.000Z,tag1|tag2,2249637,1634802,41526,52156,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
smYkmqKtpyT,17.08.10,Video JP #019,Channel_1,19,2017-04-10T12:49:00.000Z,tag1|tag2,36306185,1887824,37037,63161,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
HeyRMwfjKTi,18.08.05,Video JP #020,Channel_44,27,2018-04-15T01:40:00.000Z,tag1|tag2,15080692,1810020,27909,483068,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
xFtseXmJDbK,18.15.02,Video JP #021,Channel_4,22,2018-02-13T16:06:00.000Z,tag1|tag2,23347599,1513274,47690,468416,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
LdEZtHbFQLc,17.20.07,Video JP #022,Channel_23,23,2017-07-18T06:15:00.000Z,tag1|tag2,48192252,1681727,82607,155697,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
RyISZSanjaB,18.24.03,Video JP #023,Channel_42,11,2018-02-19T06:59:00.000Z,tag1|tag2,28596676,309711,85631,494270,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
gWGtMXgwSbg,17.04.08,Video JP #024,Channel_39,29,2017-03-14T00:48:00.000Z,tag1|tag2,14832735,915369,523,308589,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
HcTZzvibWPI,17.09.10,Video JP #025,Channel_34,15,2017-10-01T17:04:00.000Z,tag1|tag2,31251536,1727544,64449,446741,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
gugXfrHOFuw,18.03.01,Video JP #026,Channel_32,15,2018-01-22T18:29:00.000Z,tag1|tag2,13624804,1334243,41772,312255,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZQhsQRYtmWR,18.23.07,Video JP #027,Channel_48,22,2018-07-19T21:07:00.000Z,tag1|tag2,30890795,1672599,37102,383548,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
wMTLvysggfL,17.02.06,Video JP #028,Channel_17,17,2017-01-16T11:06:00.000Z,tag1|tag2,30200308,1980443,37082,262185,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
GJrClmuEygs,18.08.10,Video JP #029,Channel_50,2,2018-06-28T19:59:00.000Z,tag1|tag2,5435737,1283689,26333,32786,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QfevEjtJldN,18.14.05,Video JP #030,Channel_31,18,2018-05-04T04:24:00.000Z,tag1|tag2,14595816,84058,42165,336775,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
OtmRjJcFoCz,18.05.09,Video JP #031,Channel_31,17,2018-09-26T23:46:00.000Z,tag1|tag2,8364123,239522,24518,293330,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ptxDigEeHAr,17.19.07,Video JP #032,Channel_1,26,2017-07-22T18:12:00.000Z,tag1|tag2,16444365,1191465,85430,145676,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qzILODxkVIl,18.27.06,Video JP #033,Channel_42,11,2018-06-21T01:20:00.000Z,tag1|tag2,13900990,734462,32558,264166,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
