video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
JohgfwOtahk,17.15.10,Video MX #000,Channel_32,15,2017-10-25T06:16:00.000Z,tag1|tag2,36966845,1798323,90483,490666,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ShgBKcblFgp,17.12.05,Video MX #001,Channel_36,22,2017-04-24T18:29:00.000Z,tag1|tag2,9714902,1624554,31952,101723,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DKqLuuLakGI,18.24.11,Video MX #002,Channel_34,14,2018-03-23T01:59:00.000Z,tag1|tag2,13502726,10110,14888,35817,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
pVgQOTkZlSJ,17.01.03,Video MX #003,Channel_25,1,2017-01-24T21:33:00.000Z,tag1|tag2,34242557,349935,90715,283750,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
arJFowVgDtv,18.24.08,Video MX #004,Channel_37,23,2018-02-23T06:24:00.000Z,tag1|tag2,3539565,239497,24714,76821,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cHUafruyOBJ,18.12.10,Video MX #005,Channel_46,21,2018-02-19T06:23:00.000Z,tag1|tag2,4077496,1135335,6494,114132,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
odvUrJRjGfA,17.09.05,Video MX #006,Channel_14,16,2017-01-02T09:03:00.000Z,tag1|tag2,20873497,961666,42006,185187,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WtxzQCbYFiy,17.02.04,Video MX #007,Channel_43,4,2017-01-04T12:33:00.000Z,tag1|tag2,27215563,1883105,79570,276860,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tWwPYfDyRwE,17.23.08,Video MX #008,Channel_46,17,2017-02-14T02:06:00.000Z,tag1|tag2,13603617,1393499,26210,84297,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
bYBtnHdsrKC,18.16.02,Video MX #009,Channel_16,12,2018-01-24T10:55:00.000Z,tag1|tag2,16116897,519971,75925,344502,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
eVKrcJCnwCF,17.06.05,Video MX #010,Channel_14,1,2017-04-13T21:09:00.000Z,tag1|tag2,13632415,14547,19973,414002,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tEQlqHQKigA,18.06.04,Video MX #011,Channel_20,14,2018-04-06T15:48:00.000Z,tag1|tag2,7196781,501282,679,421918,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
axRCLizyxMN,18.01.04,Video MX #012,Channel_8,29,2018-04-05T23:53:00.000Z,tag1|tag2,33689169,614394,18477,167768,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
uaFaVhchShp,17.24.12,Video MX #013,Channel_19,16,2017-08-21T16:58:00.000Z,tag1|tag2,14586204,1864210,88941,27673,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
xyNROUWJEyt,18.22.12,Video MX #014,Channel_46,20,2018-08-28T22:42:00.000Z,tag1|tag2,29208968,734724,52366,211597,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
JBmonaLhWRX,18.10.07,Video MX #015,Channel_44,13,2018-01-20T19:46:00.000Z,tag1|tag2,45828363,1495527,47879,103405,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
dnZKxsoIvNr,18.07.10,Video MX #016,Channel_41,19,2018-03-05T02:37:00.000Z,tag1|tag2,7719831,174258,43190,19973,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
aAgsDknyrxC,17.03.01,Video MX #017,Channel_14,8,2017-01-23T04:26:00.000Z,tag1|tag2,21433870,607123,66632,262850,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ouDQtYKWZuo,17.16.06,Video MX #018,Channel_16,26,2017-01-20T05:06:00.000Z,tag1|tag2,10503301,49120,27319,48534,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hAqCnUUZzga,18.05.12,Video MX #019,Channel_3,23,2018-11-14T13:23:00.000Z,tag1|tag2,49350684,1417209,86322,74555,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MPqEDrkhTuH,17.13.09,Video MX #020,Channel_47,2,2017-01-03T09:42:00.000Z,tag1|tag2,43332846,1460772,95191,104386,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
LRkaVcbcQEd,17.14.06,Video MX #021,Channel_29,17,2017-06-07T12:38:00.000Z,tag1|tag2,7697595,1525877,565,424933,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rXdCXNGcMcn,18.02.09,Video MX #022,Channel_15,21,2018-03-17T20:14:00.000Z,tag1|tag2,29811540,875845,55765,46910,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
AQhhHBsZNpx,17.13.07,Video MX #023,Channel_45,9,2017-02-18T20:01:00.000Z,tag1|tag2,30785760,1776877,590,457582,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
YJXJMaFzkxA,18.08.12,Video MX #024,Channel_9,4,2018-02-27T02:02:00.000Z,tag1|tag2,37476583,1226847,16456,392141,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZMsbLvzyTAy,18.22.03,Video MX #025,Channel_9,22,2018-02-20T07:30:00.000Z,tag1|tag2,35669396,1139109,28509,215021,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
bLuOHxuEjwx,17.18.07,Video MX #026,Channel_45,17,2017-05-22T21:22:00.000Z,tag1|tag2,801153,1196116,91750,361098,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qjVFUBFyEmq,17.21.08,Video MX #027,Channel_35,4,2017-07-03T12:52:00.000Z,tag1|tag2,9148556,679342,44847,326862,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
RtbRVtMbbdK,18.15.08,Video MX #028,Channel_19,4,2018-03-14T10:38:00.000Z,tag1|tag2,29632711,230345,50894,173337,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hXSTseBefYB,18.19.09,Video MX #029,Channel_3,2,2018-04-19T02:52:00.000Z,tag1|tag2,43770639,758199,5813,2787,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
BxRzHZGHOEa,17.09.05,Video MX #030,Channel_7,24,2017-05-23T20:11:00.000Z,tag1|tag2,10111329,713812,83149,7416,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ziNbIFhjljF,17.17.11,Video MX #031,Channel_8,21,2017-07-27T20:02:00.000Z,tag1|tag2,37684212,33877,50489,88658,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WQOVHwnPxmX,17.26.01,Video MX #032,Channel_48,21,2017-01-21T06:01:00.000Z,tag1|tag2,19396167,53182,91494,424634,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ouIFUJVnLCz,18.26.08,Video MX #033,Channel_14,12,2018-02-26T20:48:00.000Z,tag1|tag2,43398382,638385,33281,493196,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
twCBQsTkMnk,18.09.04,Video MX #034,Channel_19,18,2018-03-24T02:17:00.000Z,tag1|tag2,49805138,1796475,30068,347238,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
vzwupqiSQyB,18.18.11,Video MX #035,Channel_1,17,2018-07-21T05:54:00.000Z,tag1|tag2,40915795,610700,32042,83897,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
pTLZJTbbLpP,18.18.10,Video MX #036,Channel_24,24,2018-04-22T20:16:00.000Z,tag1|tag2,2189503,1250652,23020,279427,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
xoVNNDKxVzh,18.15.07,Video MX #037,Channel_38,11,2018-02-24T00:03:00.000Z,tag1|tag2,18145306,1332557,45366,350176,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
rZfbgKaZbjD,17.18.04,Video MX #038,Channel_20,7,2017-01-03T13:08:00.000Z,tag1|tag2,23096370,477002,8584,73517,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
zSNjPLfhIDo,18.09.10,Video MX #039,Channel_11,13,2018-04-27T07:48:00.000Z,tag1|tag2,24072941,388240,60487,428903,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
VPrJBzBCJsr,18.18.03,Video MX #040,Channel_6,9,2018-02-27T21:24:00.000Z,tag1|tag2,42457483,1587703,56643,21984,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
IWrsNlxbNhj,17.08.10,Video MX #041,Channel_7,14,2017-06-04T02:30:00.000Z,tag1|tag2,30626644,420003,32533,232372,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qyYLNMNnfNb,18.04.07,Video MX #042,Channel_17,17,2018-07-05T02:42:00.000Z,tag1|tag2,8004298,1072988,85952,232274,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DeRmPmGrdMW,18.01.03,Video MX #043,Channel_20,11,2018-03-20T01:27:00.000Z,tag1|tag2,2230105,1494752,43344,378565,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
lPXXlORBCXq,17.22.03,Video MX #044,Channel_23,28,2017-03-24T13:28:00.000Z,tag1|tag2,6120098,1380025,38340,341398,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
pcJCOmmgstt,17.05.01,Video MX #045,Channel_12,20,2017-01-20T07:25:00.000Z,tag1|tag2,40961837,135057,14544,377114,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
nUBKHmTtVeb,18.19.05,Video MX #046,Channel_42,28,2018-01-24T09:40:00.000Z,tag1|tag2,10571538,1394499,76810,254155,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hEXWFuOrdxS,18.22.02,Video MX #047,Channel_33,4,2018-01-11T00:26:00.000Z,tag1|tag2,28729692,297232,89924,322614,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QifCuUOxJwz,17.02.12,Video MX #048,Channel_50,1,2017-12-17T15:14:00.000Z,tag1|tag2,24141066,288118,74139,269902,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
SMReScocQjg,18.01.08,Video MX #049,Channel_42,13,2018-08-21T09:22:00.000Z,tag1|tag2,49871704,1693226,68354,128445,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
HTiquNcHcaO,18.20.09,Video MX #050,Channel_14,9,2018-01-07T23:19:00.000Z,tag1|tag2,27436251,1437222,90510,241273,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hPCfdmCgicN,18.21.05,Video MX #051,Channel_7,8,2018-01-18T22:46:00.000Z,tag1|tag2,16462626,589916,49290,32013,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
mIiPjOMJdNu,17.10.09,Video MX #052,Channel_8,24,2017-03-05T00:06:00.000Z,tag1|tag2,42810083,863086,29232,218255,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZMFyAKHwjcs,17.18.04,Video MX #053,Channel_6,9,2017-01-21T22:30:00.000Z,tag1|tag2,46942276,1505227,13170,409729,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
nsPPIRqjxBe,17.01.08,Video MX #054,Channel_8,29,2017-08-04T13:15:00.000Z,tag1|tag2,39251026,1581151,10651,326720,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
FhurQFxzmxJ,18.10.11,Video MX #055,Channel_8,23,2018-06-09T11:26:00.000Z,tag1|tag2,45397448,1051727,65698,218223,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
guRWwlbskfC,17.08.07,Video MX #056,Channel_34,16,2017-05-12T12:06:00.000Z,tag1|tag2,19276388,1727300,6199,87465,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
