video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,country,trending_date_std,publish_time_std,trending_date_std_iter,publish_time_std_iter,delta_tendencia,dias_hasta_tendencia,horas_hasta_tendencia,categoria_velocidad
_I_D_8Z4sJE,18.07.04,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,10,2018-03-02T05:00:19.000Z,"Bad Bunny|""Amorfoda""|""Dura""|""Daddy Yankee""|""Ozuna""|""Romeo Santos""|""El Farsante Remix""|""Drake""|""God’s Plan""|""Luis Fonsi""|""Demi Lovato""|""Échame La Culpa""|""Sobredosis""|""Maluma""|""Corazón""|""Nego do Borel""|""Ed Sheeran""|""Perfect""|""Shape of You""|""Camila Cabello""|""Havana""|""Young Thug""|""Wisin""|""Yandel""|""Todo Comienza en la Disco""|""Piso 21""|""Déjala Que Vuelva""|""Manuel Turizo""|""Despacito""|""Síguelo Bailando""|""Reik""|""Me Niego""|""Bella Wolfine""",424538912,2818771,149275,99380,https://i.ytimg.com/vi/_I_D_8Z4sJE/default.jpg,False,False,False,"Disponible en tu plataforma preferida:\nhttps://goo.gl/b8TDFS \n\nNicky Jam y J. Balvin performing X \nNuevo video de Nicky Jam 2018\n\nLetra de EQUIS X \n\nAquel día te vi y tu energia sentí\nDesde eso no te quiero lejos de mi\nSé que no sabes de mi y no te puedo mentir\nLo que dicen en la calle sobre mi\n\nY no te voy a negar\nEstamos claros y ya\nNo te lo voy a negar (no te lo puedo negar)\nEstamos claros y ya (estamos claros, estamos claros)\n\nSolo deja que yo te agarre baby\nBesos en el cuello pa' calmar la sed\nMi mano en tus caderas pa' empezar como es\nNo le vamo' a bajar mas nunca mamá\n\nBa-Ba-Ba-Ba-Baila\nPlacata Placata \nComo ella lo mueve\nSin parar, sin parar\n\nMis ganas de comerte\nAhora son mas fuertes\nQuiero tenerte\n\nY no te voy a negar\nEstamos claros y ya\nNo te lo voy a negar\nEstamos claros y ya\n\nLo que he visto de ti mami no me es normal\nPero no te preocupes que soy anormal\nSé que tus amigas no les debo gustar\n\nPero ve y cuentale parte por parte\nComo tenemos sex y te quito el estres\nDale otra vez\n\nY no te voy a negar\nEstamos claros y ya\nNo te lo voy a negar\nEstamos claros y ya\n\nBa-Ba-Ba-Ba- Baila\nPlacata Placata \nComo ella lo mueve\nSin parar, sin parar\n\nMis ganas de comerte\nAhora son mas fuertes\nQuiero tenerte\n\nY no te voy a negar\nEstamos claros y ya\nNo te lo voy a negar\nEstamos claros y ya\n\nLa Industria Inc\nSony Music Latin\n2018\n\nSkloziv Network",GB,2018-04-07,2018-03-02 05:00:19,2018-04-07,2018-03-02 05:00:19,35 days 18:59:41,35,858.9947222222222,lento
9jI-z9QN6g8,18.18.05,"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie,10,2018-04-11T22:00:00.000Z,"Te Bote|""Te Bote Remix""|""Flow La Movie""|""Ozuna""|""Nio Garcia""|""Casper""|""Nicky Jam""|""Bad Bunny""|""Darell""",337621571,2581961,166549,113564,https://i.ytimg.com/vi/9jI-z9QN6g8/default.jpg,False,False,False,Flow La Movie Presenta - Te Boté Remix - Casper Nio García Darell Nicky Jam Bad Bunny OzunaDisponible aquí - https://glad.lnk.to/TeBoteRmx,GB,2018-05-18,2018-04-11 22:00:00,2018-05-18,2018-04-11 22:00:00,36 days 02:00:00,36,866.0,lento
kLpH1nSLJSs,18.23.03,Bad Bunny - Amorfoda | Video Oficial,Bad Bunny,10,2018-02-15T00:00:03.000Z,"Bad|""Bunny""|""Bad Bunny""|""Video Oficial""|""Music Video""|""Amor Foda""|""Amorfoda""|""No Quiero Que Nadie Me Hable De Amor""|""Ya Me Canse""|""Que nadie me hable de amor""|""San Valentin""",328860380,3823879,215530,225216,https://i.ytimg.com/vi/kLpH1nSLJSs/default.jpg,False,False,False,Bad Bunny - Amorfoda | Video Oficial\n\n-Click para suscribirte: http://bit.ly/badbunnypr\n\nFollow Me / Sigueme en: \n\nInstagram: https://www.instagram.com/badbunnypr/\nSpotify: http://spoti.fi/2xQk6CX\nFacebook: https://www.facebook.com/BadBunyPR\nTwitter: https://twitter.com/badbunnypr\nApple Music: http://apple.co/2f52tr9\n\nPara contrataciones:  +1 787-566-8600 | BadBunnyInfo@Gmail.com\n\n© 2018 Hear This Music under exclusive license to Rimas Entertainment,GB,2018-03-23,2018-02-15 00:00:03,2018-03-23,2018-02-15 00:00:03,35 days 23:59:57,35,863.9991666666666,lento
wfWkmURBNv8,18.01.03,Ozuna x Romeo Santos - El Farsante Remix,Ozuna,10,2018-01-30T15:00:05.000Z,"Ozuna|""Reggaeton""|""Odisea""|""Odisea The Album""|""Romeo Santos""|""El Farsante Remix""",288811992,1618180,151147,67506,https://i.ytimg.com/vi/wfWkmURBNv8/default.jpg,False,False,False,DESCARGA Odisea Aqui: http://apple.co/2vX00sT\n\nDescarga Odisea The Game:\nApp Store: http://apple.co/2hSmZiO\nAndroid: http://bit.ly/2uwwJFb\n\nFollow Me / Sigueme en: \n\nINSTAGRAM: https://www.instagram.com/ozunapr/\nFACEBOOK: https://www.facebook.com/ozunapr\nTWITTER: https://twitter.com/ozunapr\nSPOTIFY: http://spoti.fi/2tzO4Zv\nAPPLE MUSIC: http://apple.co/2uu3phf\n\nManager: \nVicente Saavedra: Saavedrabooking@gmail.com | +1-787-444-5678,GB,2018-03-01,2018-01-30 15:00:05,2018-03-01,2018-01-30 15:00:05,29 days 08:59:55,29,704.9986111111111,moderado
VYOjWnS4cMY,18.11.06,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,10,2018-05-06T04:00:07.000Z,"Childish Gambino|""Rap""|""This Is America""|""mcDJ Recording/RCA Records""",259721696,5444541,379862,553371,https://i.ytimg.com/vi/VYOjWnS4cMY/default.jpg,False,False,False,“This is America” by Childish Gambino http://smarturl.it/TcIgADirector: Hiro MuraiProducer: Jason Cole of Doomsday with Ibra Ake and Fam Rothstein of Wolf + Rothsteintour tickets and merchandise available at childishgambino.com,GB,2018-06-11,2018-05-06 04:00:07,2018-06-11,2018-05-06 04:00:07,35 days 19:59:53,35,859.9980555555555,lento
xpVfcZ0ZcFM,18.25.03,Drake - God’s Plan,DrakeVEVO,10,2018-02-17T05:00:01.000Z,"Drake new music|""Drake Gods Plan""|""Drake God’s Plan""|""Scary Hours""|""Drake Charity Giveaway""|""Drake in Miami""",258164991,4737873,117198,301756,https://i.ytimg.com/vi/xpVfcZ0ZcFM/default.jpg,False,False,False,God’s Plan (Official Video)\n\nSong Available Here: https://Drake.lnk.to/ScaryHoursYD\n\n \n\nDirected by Karena Evans\n\nExecutive Producers Director X & Taj Critchlow\n\nProduced by Fuliane Petikyan\n\nFor Popp Rok\n\n \n\nMusic video by Drake performing God’s Plan.  © 2018 Young Money Entertainment/Cash Money Records\n\nhttp://vevo.ly/Z6Unb9,GB,2018-03-25,2018-02-17 05:00:01,2018-03-25,2018-02-17 05:00:01,35 days 18:59:59,35,858.9997222222222,lento
ffxKSjUwKdU,18.26.05,Ariana Grande - No Tears Left To Cry,ArianaGrandeVevo,10,2018-04-20T04:00:03.000Z,"Ariana|""Grande""|""No""|""Tears""|""Left""|""To""|""Cry""|""Universal""|""Records""|""Pop""",208876887,3394437,150086,259613,https://i.ytimg.com/vi/ffxKSjUwKdU/default.jpg,False,False,False,"No Tears Left To Cry (Official Video)Song Available Here: https://arianagrande.lnk.to/notearsYD Connect with Ariana Grande:https://www.arianagrande.com https://www.instagram.com/arianagrande https://twitter.com/arianagrande https://www.facebook.com/arianagrande Director - Dave MeyersProducer - Nathan ScherrerEditor - Nick GilbergDirector of Photography - Scott CunninghamProduction Designer - Ethan TobmanVisual Fx - BufColourist - Stefan SonnenfeldA FREENJOY PRODUCTIONMusic video by Ariana Grande performing No Tears Left To Cry. © 2018 Republic Records, a Division of UMG Recordings, Inc.http://vevo.ly/zyztMq",GB,2018-05-26,2018-04-20 04:00:03,2018-05-26,2018-04-20 04:00:03,35 days 19:59:57,35,859.9991666666666,lento
zEf423kYfqk,18.26.05,"Becky G, Natti Natasha - Sin Pijama (Official Video)",BeckyGVEVO,10,2018-04-20T10:40:51.000Z,"Becky G|""Natti Natasha""|""Natti Natasha Music""|""Natti Natasha Official Video""|""Natti Natasha Video""|""Natti Natasha Video Oficial""|""Natti Natasha Nuevo Video""|""Natti Natasha New Video""|""Sin Pijama Official Video""|""Official Video""|""Sin Pijama Official Remix Video""|""Sin Pijama Single""|""Single""|""Natti Natasha New Single""|""Natti Natasha Single""|""Natti Natasha Song""|""Sin Pijama new song""|""Sin Pijama nueva canción""|""Natti Natasha nueva cancion""|""Natti""|""Natasha""|""en""",200862743,1668418,142569,97826,https://i.ytimg.com/vi/zEf423kYfqk/default.jpg,False,False,False,"Becky G & Natti Natasha – “Sin Pijama”NUEVO SENCILLO “Sin Pijama” DISPONIBLE AHORA iTunes: http://smarturl.it/SinPijamaI   Apple Music: http://smarturl.it/SinPijamaA  Spotify: http://smarturl.it/SinPijamaSpot  Amazon Music: http://smarturl.it/SinPijamaAm  Google Play: http://smarturl.it/SinPijamaGPDeezer: http://smarturl.it/SinPijamaD ¡Elige tu plataforma de preferencia!: https://SML.lnk.to/SinPijama ESCÚCHA Sin Pijama EN LATINO VIBES ....¡SIGUE ESTE PLAYLIST AHORA PARA ESCÚCHAR NUEVA MÚSICA + LOS MEJORES PUNTOS LATINOS DE HOY!Apple Music: http://smarturl.it/LatinoVibesA   Spotify: http://smarturl.it/LatinoVibesS SIGUE A BECKY G EN: Página web oficial: http://iambeckyg.com Instagram: http://smarturl.it/BeckyGInstagram Facebook: http://smarturl.it/BeckyGFB Twitter: http://smarturl.it/BeckyGTWSIGUE A NATTI NATASHA EN: INSTAGRAM: https://www.instagram.com/nattinatasha/ FACEBOOK: https://www.facebook.com/NattiNatashaOfficial/ Official music video by Becky G, Natti Natasha performing Sin Pijama . (C) 2018 Sony Music Entertainment US Latin LLC",GB,2018-05-26,2018-04-20 10:40:51,2018-05-26,2018-04-20 10:40:51,35 days 13:19:09,35,853.3191666666667,lento
FlsCjmMhFmw,17.24.12,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,24,2017-12-06T17:58:51.000Z,"Rewind|""Rewind 2017""|""youtube rewind 2017""|""#YouTubeRewind""|""Rewind 2016""|""Dan and Phil""|""Grace Helbig""|""HolaSoyGerman""|""Lilly Singh""|""Markiplier""|""Swoozie""|""Rhett Link""|""Liza Koshy""|""Dolan Twins""|""Lele Pons""|""Jake Paul""|""Logan Paul""|""KSI""|""Joey Graceffa""|""Casey Neistat""|""Poppy""|""Niana Guerrero""|""Daddy Yankee""|""Luis Fonsi""|""Ed Sheeran""|""Kendrick Lamar""|""Stephen Colbert""|""Fidget Spinners""|""Slime""|""Backpack Kid""|""April the Giraffe""|""#Rewind""|""Despacito""|""Shape of you""|""YouTubeRewind""|""I’m the One""|""Humble""",169884583,3312868,1753274,845233,https://i.ytimg.com/vi/FlsCjmMhFmw/default.jpg,False,False,False,"YouTube Rewind 2017. Celebrating the videos, people, music and memes that made 2017. #YouTubeRewind\n\nMeet the featured Creators in Rewind: https://rewind2017.withyoutube.com/creators\nSpend more time with your favorite Creators, videos and trends from 2017: https://yt.be/rewind2017\nTest your Rewind knowledge with our trivia game: http://yt.be/dejaview\n\nWatch trending videos from 2017: http://youtube.com/rewind\nSee the trends as they happen: http://youtube.com/trending\n\nWatch the Behind the Scenes video: https://youtu.be/OIQQ8jmsbMM  \nSee all the Easter Eggs: https://goo.gl/3U9otg\n\nMusic by The Hood Internet: https://www.youtube.com/thehoodinternet\n\nYouTube Rewind 2017 produced by Portal A",GB,2017-12-24,2017-12-06 17:58:51,2017-12-24,2017-12-06 17:58:51,17 days 06:01:09,17,414.01916666666665,moderado
sGIm0-dQd8M,18.14.02,Dura - Daddy Yankee (Video Oficial),Daddy Yankee,10,2018-01-18T22:32:49.000Z,"daddy yankee reggaeton|""daddy yankee youtube""|""music daddy yankee""|""daddy""|""gasolina daddy yankee""|""shaky shaky""|""music video daddy yankee""|""dura""|""despacito""|""machika""|""corazon""|""camila cabello havana""|""perfect""|""echame la culpa""|""ozuna""|""jbalvin""|""bad bunny""|""natti natasha""|""enrique iglesias""|""manuel turizo""",167456025,1633407,74005,65395,https://i.ytimg.com/vi/sGIm0-dQd8M/default.jpg,False,False,False,"Dura - Daddy Yankee - nuevo video oficial 2018\n\nThis is the official Youtube channel from urban music legend, Daddy Yankee \n\n\n\nRecuerda suscribirte a mi unico canal oficial y a mis demás redes sociales: \n\nhttp://www.youtube.com/DaddyYankee \nhttp://www.facebook.com/daddyyankee http://www.instagram.com/daddyyankee \nhttp://www.twitter.com/daddyyankee http://www.daddyyankee.com\n\nEscucha Dura tambien en:\nSpotify: https://goo.gl/LPP4j9\nApple Music: https://goo.gl/s8omcv\nGoogle Play: https://goo.gl/d9V2VV\nTidal: https://goo.gl/44UiYx\nDeezer: https://goo.gl/11jHih\n\nDura Lyrics:\n\nCuando yo la vi, dije si esa mujer fuera para mí\n\nPerdóname, te lo tenía que decir\n\nEstás dura, dura, dura, dura, dura\n\n \n\nQue estás dura,\n\nMano arriba porque tú te ves bien\n\nEstás dura mamacita te fuiste de nivel\n\nDura, mira como brilla tu piel\n\nEstás dura\n\nDímelo, dímelo cómo es que es\n\nEstás dura\n\nYo te doy un 20 de 10\n\nEstás dura, dura, dura\n\n \n\nTú eres la máquina, la máquina de baile\n\nSi no tienes a nadie vente pa mi brazos, caíle.\n\nEse perfume se siente en el aire\n\nAlgo como Argentina tú me traes los Buenos Aires\n\n \n\nEstás poderosa\n\nMedia escandalosa\n\nHabrán muchas mujeres pero tú eres otra cosa\n\n \n\nSi fuera un delito eso de que estás hermosa\n\nTe arresto en mi cama y te pongo las esposas\n\n \n\nTienes el toque, toque, toque\n\nMiren el material, edición especial\n\nTienes el toque, toque, toque\n\nPerdóname te lo tenía que decir\n\nEstás dura, dura, dura, dura, dura\n\n \n\nQue estás dura,\n\nMano arriba porque tú te ves bien\n\nEstás dura mamacita te fuiste de nivel\n\nDura, mira como brilla tu piel\n\nEstás dura\n\nDímelo, dímelo cómo es que es\n\nEstás dura\n\nYo te doy un 20 de 10\n\nEstás dura, dura, dura\n\n \n\nMe gusta como mueve ese rampampam\n\nMi mente maquineando en un plan, plan, plan\n\nSi me deja en esas curvas le doy pam-pam\n\nCuál es tu receta no sé, estás pa comerte bien\n\nMe gusta como mueve ese rampampam\n\nMi mente maquineando en un plan, plan, plan\n\nSi me deja en esas curvas le doy pam-pam\n\nTu belleza retumba, las otra pa la tumba\n\n \n\nUno, dos y tres\n\nVamos a darle, la envidia que se calle,\n\nSaludo a todas las nenas, que paralizan la calle\n\nCómo tú te llamas, de dónde tú eres,\n\nDame el número, pa entrar contigo en detalle\n\nTienes el toque, toque, toque\n\nPareces una estrella, formando el alboroto\n\nTienes el toque, toque, toque\n\nSe cae el internet cuando subes una foto\n\n \n\nCuando yo la vi, dije si esa mujer fuera para mí\n\nPerdóname, te lo tenía que decir\n\nEstás dura, dura, dura, dura, dura\n\n \n\nQue estás dura,\n\nMano arriba porque tú te ves bien\n\nEstás dura mamacita te fuiste de nivel\n\nDura, mira como brilla tu piel\n\nEstás dura\n\nDímelo, dímelo cómo es que es\n\nEstás dura\n\nYo te doy un 20 de 10\n\nEstás dura, dura, dura\n\n \n\nTu tienes el size,\n\nOtra como tú, mami no hay\n\nPégate dale boom bye, bye,\n\nQue tu tienes el size,\n\nOtra como tú, mami no hay\n\nPégate dale boom bye, bye,\n\nQue tu tienes el size,\n\nOtra como tú, mami no hay\n\nPégate dale boom bye, bye,\n\nQue tu tienes el size,\n\nOtra como tú, mami no hay\n\nPégate dale boom bye, bye,\n\n \n\nRetumbando las bocinas\n\nDe seguro Daddy Yankee y el disco dura\n\ncontact: info@nevarezpr.com",GB,2018-02-14,2018-01-18 22:32:49,2018-02-14,2018-01-18 22:32:49,26 days 01:27:11,26,625.4530555555556,moderado
