video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
MiIaowjLUBw,17.04.10,Video CA #000,Channel_4,27,2017-03-10T03:34:00.000Z,tag1|tag2,42650063,1702863,68634,336574,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
aONWtmevZrj,17.23.07,Video CA #001,Channel_43,3,2017-03-15T01:38:00.000Z,tag1|tag2,14852057,1851287,12761,418317,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QqGGWuwmfqa,17.06.12,Video CA #002,Channel_42,11,2017-01-14T16:06:00.000Z,tag1|tag2,854056,817183,27987,241030,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cUvNzZLPVDn,17.22.02,Video CA #003,Channel_7,20,2017-02-21T19:23:00.000Z,tag1|tag2,21817047,1324038,91367,204220,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
YIdaVxAMAKa,17.06.06,Video CA #004,Channel_2,20,2017-06-25T22:20:00.000Z,tag1|tag2,8375268,648702,31084,387379,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
zktHmLZxTgq,18.20.04,Video CA #005,Channel_49,2,2018-01-02T04:23:00.000Z,tag1|tag2,35005185,1661482,54480,340262,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
CVImJLFtqxa,18.08.01,Video CA #006,Channel_32,3,2018-01-11T07:13:00.000Z,tag1|tag2,12966137,110276,83247,74703,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
PkAwyikwFpD,17.03.03,Video CA #007,Channel_41,7,2017-01-19T17:53:00.000Z,tag1|tag2,18294268,1809637,63168,42451,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
AMNQPbtSNVE,18.13.07,Video CA #008,Channel_10,18,2018-02-16T14:27:00.000Z,tag1|tag2,48814537,369468,33823,199965,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
zrLkVaSLtvv,18.15.05,Video CA #009,Channel_26,24,2018-03-13T17:38:00.000Z,tag1|tag2,25091330,806384,64266,161881,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
kwnVLAzJKHW,17.02.07,Video CA #010,Channel_48,8,2017-01-13T18:10:00.000Z,tag1|tag2,16314025,1002863,4622,483614,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
HnxJnFXRaOH,18.23.11,Video CA #011,Channel_25,13,2018-11-01T22:42:00.000Z,tag1|tag2,47433540,1230267,10631,272362,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
pYItqvTLeHO,17.06.07,Video CA #012,Channel_23,27,2017-07-14T08:44:00.000Z,tag1|tag2,9627339,565178,98237,110351,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
fOvvowjjgzA,18.10.12,Video CA #013,Channel_8,15,2018-01-06T15:00:00.000Z,tag1|tag2,38106908,1708858,27962,97827,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZTwVfHeegdb,17.24.01,Video CA #014,Channel_16,16,2017-01-26T06:16:00.000Z,tag1|tag2,32610841,1411973,99784,53353,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZfBaFZNWyrw,17.09.01,Video CA #015,Channel_24,22,2017-01-22T18:50:00.000Z,tag1|tag2,23073537,662072,31504,493850,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TPaTuRWbgBX,18.13.11,Video CA #016,Channel_49,27,2018-07-20T01:22:00.000Z,tag1|tag2,16729078,773653,59333,324694,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
qGTYMJmzMPs,18.14.09,Video CA #017,Channel_31,22,2018-04-01T20:52:00.000Z,tag1|tag2,46992632,1899347,13266,385473,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
BDSAgPpICTi,18.20.05,Video CA #018,Channel_29,4,2018-02-23T04:55:00.000Z,tag1|tag2,32407783,1390661,70966,126801,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
bWqtoLIXIIV,17.06.04,Video CA #019,Channel_41,24,2017-01-04T13:45:00.000Z,tag1|tag2,33064795,190670,90773,174983,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tLMtHDSQlge,17.25.10,Video CA #020,Channel_6,11,2017-10-03T20:21:00.000Z,tag1|tag2,49749564,1242934,24762,390894,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DadBSYqsJPB,17.12.10,Video CA #021,Channel_39,19,2017-03-28T10:24:00.000Z,tag1|tag2,14957667,224526,51914,5317,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
JhoMSRbqAJo,18.05.06,Video CA #022,Channel_46,19,2018-03-27T07:31:00.000Z,tag1|tag2,32147011,1324464,28372,260035,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
RkMQKcTjzuZ,18.13.12,Video CA #023,Channel_43,28,2018-01-26T10:09:00.000Z,tag1|tag2,10733276,46226,71919,206170,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
dLoVKCfqPTc,18.22.07,Video CA #024,Channel_46,10,2018-04-12T12:25:00.000Z,tag1|tag2,30754486,1373866,21555,303096,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
lMMaLDJZhXw,17.23.08,Video CA #025,Channel_11,2,2017-08-10T04:13:00.000Z,tag1|tag2,6495654,746713,62211,94679,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
GvbmzJXHtJP,17.17.02,Video CA #026,Channel_43,3,2017-02-19T13:09:00.000Z,tag1|tag2,31166620,1814817,85337,200830,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ggHVlEZyKeE,18.21.11,Video CA #027,Channel_25,16,2018-08-12T00:07:00.000Z,tag1|tag2,43308148,1474746,56940,156928,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
vKuQOBdRCQH,17.11.02,Video CA #028,Channel_49,25,2017-01-23T17:11:00.000Z,tag1|tag2,13972657,1382147,15478,95220,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cDHenNegpYi,17.18.01,Video CA #029,Channel_43,1,2017-01-26T10:07:00.000Z,tag1|tag2,16715619,631403,6151,496588,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
KBZsBkfQmjp,18.18.11,Video CA #030,Channel_14,5,2018-08-05T18:31:00.000Z,tag1|tag2,40459225,1158776,28416,310764,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ntUuenwKBdM,18.05.05,Video CA #031,Channel_41,23,2018-05-14T02:35:00.000Z,tag1|tag2,43373551,404968,93743,195609,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
bFegfCdHsro,17.27.07,Video CA #032,Channel_15,9,2017-02-11T13:24:00.000Z,tag1|tag2,711917,206409,49534,117010,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TEPesDoofcq,18.26.02,Video CA #033,Channel_49,13,2018-01-06T16:46:00.000Z,tag1|tag2,12174725,724880,97263,355868,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
AigtMcLYKmF,18.19.08,Video CA #034,Channel_46,15,2018-03-09T00:43:00.000Z,tag1|tag2,12337936,921565,46499,419127,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TQpSXvqeeLX,18.10.09,Video CA #035,Channel_11,19,2018-05-14T16:45:00.000Z,tag1|tag2,3902822,178387,97540,150368,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
JJBgajRawBr,18.14.01,Video CA #036,Channel_48,22,2018-01-16T15:32:00.000Z,tag1|tag2,35490957,1435615,79948,22706,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
tgscziYrJRS,18.22.03,Video CA #037,Channel_8,10,2018-03-08T05:04:00.000Z,tag1|tag2,20127495,1014185,38575,139305,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WHQbyGzsGrs,17.24.01,Video CA #038,Channel_1,12,2017-01-07T09:59:00.000Z,tag1|tag2,48531697,391401,52799,186377,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
AhgziIlupwj,17.14.02,Video CA #039,Channel_18,4,2017-02-07T02:33:00.000Z,tag1|tag2,29482073,1377318,57687,85347,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
TkjcuMUikyI,17.24.06,Video CA #040,Channel_18,4,2017-04-01T11:56:00.000Z,tag1|tag2,28309228,1026649,72205,260320,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MQgXPgraJcR,17.25.06,Video CA #041,Channel_28,20,2017-04-17T23:59:00.000Z,tag1|tag2,49538194,17837,57028,252259,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
GLjofnKIwyO,18.16.05,Video CA #042,Channel_7,23,2018-01-25T13:15:00.000Z,tag1|tag2,49070120,1054470,80198,95494,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
uojhakStBKY,17.21.10,Video CA #043,Channel_15,11,2017-03-08T03:08:00.000Z,tag1|tag2,28643466,1005945,8141,267815,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
osvqcccMlyV,18.02.11,Video CA #044,Channel_7,14,2018-05-04T08:23:00.000Z,tag1|tag2,12454402,530033,64493,191121,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
CSrMsOBtHkt,18.04.05,Video CA #045,Channel_7,5,2018-01-22T00:43:00.000Z,tag1|tag2,42298964,1558318,78983,63600,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WdCrLZkLcjC,17.21.10,Video CA #046,Channel_17,29,2017-04-07T22:28:00.000Z,tag1|tag2,37654186,729423,48073,235633,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
XPioYpXdYjQ,17.03.07,Video CA #047,Channel_32,22,2017-04-14T16:59:00.000Z,tag1|tag2,35783446,1826058,67403,39814,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
FkaDEaWAALn,17.25.08,Video CA #048,Channel_15,10,2017-07-18T12:25:00.000Z,tag1|tag2,47580168,564116,72471,62944,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hTWoPHmQBas,17.02.04,Video CA #049,Channel_39,12,2017-02-10T01:40:00.000Z,tag1|tag2,21830978,175579,92566,463963,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZGasLonaITW,18.05.12,Video CA #050,Channel_38,4,2018-07-20T09:20:00.000Z,tag1|tag2,48543012,1564992,90292,200768,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
wqkGSuxLwhy,18.21.11,Video CA #051,Channel_32,6,2018-10-18T06:52:00.000Z,tag1|tag2,30879148,389031,23183,99516,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ijuFddmVYfB,18.06.12,Video CA #052,Channel_47,25,2018-11-10T00:19:00.000Z,tag1|tag2,841114,1266198,13171,198615,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cmehGaYXfMr,18.04.01,Video CA #053,Channel_46,3,2018-01-25T20:59:00.000Z,tag1|tag2,13627575,292986,63070,398786,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
cJGgQfpARhV,18.10.03,Video CA #054,Channel_2,8,2018-02-16T04:15:00.000Z,tag1|tag2,28714573,809206,19416,185736,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
