video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
bEvEVCCZyOt,17.03.12,Video GB #000,Channel_15,29,2017-01-28T16:40:00.000Z,tag1|tag2,39617436,1538688,38241,70692,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
amYZJNhiDDT,18.17.09,Video GB #001,Channel_10,24,2018-02-13T11:32:00.000Z,tag1|tag2,49173988,1014980,47128,21691,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ckVsyxcYqKB,17.08.08,Video GB #002,Channel_18,27,2017-02-09T11:14:00.000Z,tag1|tag2,49838717,553213,75942,285896,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
UenYlvQrPUa,17.21.07,Video GB #003,Channel_9,15,2017-04-12T18:41:00.000Z,tag1|tag2,11163618,483325,10204,270267,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
LglQLzykiRb,18.05.04,Video GB #004,Channel_3,5,2018-02-06T11:38:00.000Z,tag1|tag2,38536028,1243243,21219,71134,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
jXFDaLIoexZ,17.05.10,Video GB #005,Channel_31,6,2017-01-06T08:59:00.000Z,tag1|tag2,14771256,1742398,53940,315512,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
nLrxElufkSA,17.27.10,Video GB #006,Channel_27,27,2017-03-20T21:32:00.000Z,tag1|tag2,10086881,1270848,12722,93520,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
NeIUCaWJwvT,18.20.10,Video GB #007,Channel_45,17,2018-01-26T17:32:00.000Z,tag1|tag2,28836767,482267,63292,414454,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
fgymSoTvjKP,18.19.06,Video GB #008,Channel_37,17,2018-06-25T22:36:00.000Z,tag1|tag2,7957343,1091019,1042,197123,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
iHnSwtoJNvO,17.26.12,Video GB #009,Channel_31,6,2017-06-14T11:06:00.000Z,tag1|tag2,24894571,1173504,72833,254129,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
MSIMxKilurC,18.19.05,Video GB #010,Channel_45,22,2018-03-25T22:25:00.000Z,tag1|tag2,47481869,110162,21168,204502,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
entFLWuIoYc,17.27.02,Video GB #011,Channel_50,27,2017-01-16T19:27:00.000Z,tag1|tag2,11812246,1343788,64897,230647,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
FAmibmaiZOs,17.28.04,Video GB #012,Channel_26,13,2017-03-07T01:50:00.000Z,tag1|tag2,39381174,421081,67961,8556,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
EsQlYxvajAD,17.18.02,Video GB #013,Channel_33,10,2017-02-24T17:58:00.000Z,tag1|tag2,22864724,1987035,15436,421472,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DONXxxEbgdG,18.27.09,Video GB #014,Channel_15,22,2018-05-23T14:24:00.000Z,tag1|tag2,47105131,483198,41483,216729,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ouMrCjqlDjM,18.18.09,Video GB #015,Channel_13,16,2018-01-23T08:15:00.000Z,tag1|tag2,49516765,419731,30883,386076,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
GifVJIFNCcz,17.07.05,Video GB #016,Channel_40,11,2017-02-07T07:53:00.000Z,tag1|tag2,33090403,1884496,75403,455985,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DcPyCAuJjYK,18.06.08,Video GB #017,Channel_30,11,2018-05-13T07:48:00.000Z,tag1|tag2,46302137,18655,1649,353924,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
SjnoXrjwvNs,17.19.07,Video GB #018,Channel_26,9,2017-01-11T11:39:00.000Z,tag1|tag2,30297910,378255,74995,69254,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
wthXhPjzZSA,17.24.02,Video GB #019,Channel_47,11,2017-02-26T07:35:00.000Z,tag1|tag2,32706528,630217,32995,295222,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QyGxrsDWnbg,17.04.07,Video GB #020,Channel_44,20,2017-06-06T01:13:00.000Z,tag1|tag2,13401852,1210750,75583,341216,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
OxeFyXTHWvF,17.12.05,Video GB #021,Channel_26,28,2017-03-22T16:31:00.000Z,tag1|tag2,4837820,166909,21333,180658,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
FuUOWMBxiSg,17.11.06,Video GB #022,Channel_16,22,2017-06-10T22:17:00.000Z,tag1|tag2,16937744,1973240,97601,367866,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WycOBZfGeWu,17.06.04,Video GB #023,Channel_15,8,2017-04-04T03:04:00.000Z,tag1|tag2,49549043,596958,58185,328956,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
