video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
CCXiNEwSwli,17.28.01,Video IN #000,Channel_2,7,2017-01-21T22:13:00.000Z,tag1|tag2,43460580,931712,29400,155289,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
aHEKsIqPRSE,18.08.09,Video IN #001,Channel_32,16,2018-07-12T13:30:00.000Z,tag1|tag2,2329505,667153,34262,205545,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
LaXZowCBMmI,18.20.04,Video IN #002,Channel_49,12,2018-02-03T12:16:00.000Z,tag1|tag2,34777774,1055057,56297,280364,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
hEjRvqZOUJD,17.28.01,Video IN #003,Channel_34,2,2017-01-11T06:06:00.000Z,tag1|tag2,20575584,30631,11978,409224,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
yMcdEcUbkAq,18.04.07,Video IN #004,Channel_26,15,2018-07-11T19:50:00.000Z,tag1|tag2,47636489,487104,82780,162520,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
QHbFffBXtdl,18.08.05,Video IN #005,Channel_7,7,2018-04-25T18:14:00.000Z,tag1|tag2,940691,735323,38608,66483,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
fYEcNFSapIo,18.26.11,Video IN #006,Channel_12,11,2018-03-12T20:04:00.000Z,tag1|tag2,37947518,941532,81554,328104,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DKJZuwZuiLE,17.22.12,Video IN #007,Channel_21,29,2017-04-25T04:15:00.000Z,tag1|tag2,4816988,1876365,26578,410021,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
YCBoIHbfkmJ,18.21.01,Video IN #008,Channel_37,22,2018-01-19T19:52:00.000Z,tag1|tag2,13775678,1329837,81821,457992,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ATysqeqlQfQ,18.01.12,Video IN #009,Channel_33,14,2018-03-13T12:15:00.000Z,tag1|tag2,3840334,716380,57472,435243,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
