video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
mdHczXmJbbB,17.06.04,Video KR #000,Channel_26,21,2017-04-25T14:22:00.000Z,tag1|tag2,22349421,620336,53446,413012,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
WbopBypDOHQ,17.11.03,Video KR #001,Channel_38,9,2017-01-13T01:24:00.000Z,tag1|tag2,34192680,530165,67833,36852,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ZVxyNxXNlyD,18.21.01,Video KR #002,Channel_20,20,2018-01-13T03:01:00.000Z,tag1|tag2,13288611,1697480,26575,428252,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
fKwcbGieoeY,17.17.08,Video KR #003,Channel_23,11,2017-02-04T02:28:00.000Z,tag1|tag2,39772949,887831,58786,146942,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
vKrWlZyJQLs,17.08.04,Video KR #004,Channel_1,29,2017-03-22T18:46:00.000Z,tag1|tag2,3767913,653459,80996,364739,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
ufMyRmZlDpw,17.21.07,Video KR #005,Channel_10,9,2017-04-12T06:46:00.000Z,tag1|tag2,34045120,1039740,94164,379441,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
SYmGTIuxeKZ,17.26.04,Video KR #006,Channel_16,9,2017-03-28T16:24:00.000Z,tag1|tag2,38738726,422020,16401,469499,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
sDfTQygTghb,18.13.10,Video KR #007,Channel_45,26,2018-08-02T13:00:00.000Z,tag1|tag2,39472963,1169726,80362,99054,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
EKxfpYHsaTF,18.13.05,Video KR #008,Channel_16,9,2018-03-13T06:52:00.000Z,tag1|tag2,44436607,278495,62416,365200,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
YsgRHrGjZaI,17.18.12,Video KR #009,Channel_8,22,2017-07-13T23:37:00.000Z,tag1|tag2,3766675,175407,42921,222867,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
DOYMGeXSaIC,17.03.07,Video KR #010,Channel_9,21,2017-07-19T14:12:00.000Z,tag1|tag2,13016594,1114285,39808,349680,https://example.com/thumb.jpg,False,False,False,Descripción del vídeo de muestra.
